Club|Last Name|First Name|Pos|Base Salary|Compensation|year
Atlanta United|Hernandez|Jose Rafael|D|120000|120000|2018
FC Dallas|Hernandez|Moises|D|67500|67500|2018
Real Salt Lake|Hernandez|Jose E|M|67500|70875|2018
Toronto FC|Hernandez|Jason|D|67500|67500|2018
New York City FC|Herrera|Yangel|M|200000.04|200000.04|2018
Real Salt Lake|Herrera|Aaron|D|67500|67500|2018
Columbus Crew|Higuain|Federico|M|1100000.04|1100000.04|2018
Orlando City SC|Higuita|Cristian|M|444996|581662.67|2018
Atlanta United|Hildebrandt|Mitch|GK|67500|67500|2018
LA Galaxy|Hilliard-Arce|Tomas|D|90000|113125|2018
San Jose Earthquakes|Hoesen|Danny|F|465000|518000|2018
New England Revolution|Hollinger-Janzen|Femi|F|67500|67500|2018
FC Dallas|Hollingshead|Ryan|D-M|145000|145000|2018
Real Salt Lake|Horst|David|D|125004|131629|2018
LAFC|Horta|Andre|M|1100000.04|1198000.04|2018
Real Salt Lake|Horwath|Alex|GK|67500|73362.5|2018
New York City FC|Hountondji|Cedric|D|220000.08|258333.41|2018
Colorado Rapids|Howard|Tim|GK|2e+06|2475000|2018
Real Salt Lake|Glad|Justen|D|270000|291700|2018
Portland Timbers|Gleeson|Jake|GK|120000|125166.67|2018
San Jose Earthquakes|Godoy|Anibal|M|425000.04|473125.04|2018
Minnesota United|Gomez|Alexi|M|3e+05|339450|2018
FC Dallas|Gonzalez|Jesse|GK|187500|211500|2018
Chicago Fire|Gordon|Alan|F|150000|155000|2018
Atlanta United|Goslin|Chris|M|80000|84000|2018
Columbus Crew|Grella|Mike|F|195300|197550|2018
Atlanta United|Gressel|Julian|M|92500|111250|2018
Orlando City SC|Grinwis|Adam|GK|67500|67500|2018
FC Dallas|Gruezo|Carlos|M|595000.08|730750.08|2018
Sporting Kansas City|Gutierrez|Felipe|M|1599999.96|1649999.96|2018
Atlanta United|Guzan|Brad|GK|640008|700008|2018
Portland Timbers|Guzman|David|M|219999.96|239999.96|2018
Toronto FC|Hagglund|Nick|D|125004|134629|2018
Colorado Rapids|Hairston|Marlon|M|144996|144996|2018
DC United|Hamid|Bill|GK|67500|93175|2018
Colorado Rapids|Hamilton|Sam|M|68254.2|68254.2|2018
Toronto FC|Hamilton|Jordan|F|72930.38|100430.38|2018
Columbus Crew|Hansen|Niko|F|68250.04|75750.04|2018
DC United|Harkes|Ian|M|104500|137737.5|2018
LAFC|Harvey|Jordan|D|150000|150000|2018
